system_time_start,LST_C_L5,LST_C_L7,LST_C_L8,LST_C_L9,year,month,day
23/09/1999,,,,,1999,9,23
01/10/1999,,,,,1999,10,1
25/10/1999,,,,,1999,10,25
02/11/1999,,,,,1999,11,2
18/11/1999,,,,,1999,11,18
25/11/1999,,,,,1999,11,25
03/12/1999,,,,,1999,12,3
04/12/1999,,,,,1999,12,4
20/12/1999,,,,,1999,12,20
05/01/2000,,,,,2000,1,5
13/01/2000,-9.57,,,,2000,1,13
22/02/2000,,-8.627,,,2000,2,22
10/04/2000,,-1.513,,,2000,4,10
26/04/2000,,16.432,,,2000,4,26
04/05/2000,,,,,2000,5,4
12/05/2000,,20.07,,,2000,5,12
27/05/2000,,,,,2000,5,27
28/05/2000,,,,,2000,5,28
05/06/2000,,,,,2000,6,5
12/06/2000,,,,,2000,6,12
13/06/2000,,26.617,,,2000,6,13
23/07/2000,,,,,2000,7,23
31/07/2000,,,,,2000,7,31
08/08/2000,,,,,2000,8,8
16/08/2000,,,,,2000,8,16
01/09/2000,,,,,2000,9,1
09/09/2000,16.581,,,,2000,9,9
26/10/2000,,,,,2000,10,26
26/10/2000,,,,,2000,10,26
27/10/2000,,,,,2000,10,27
03/11/2000,,,,,2000,11,3
03/11/2000,,,,,2000,11,3
11/11/2000,,2.402,,,2000,11,11
11/11/2000,,2.515,,,2000,11,11
19/11/2000,0.711,,,,2000,11,19
19/11/2000,,,,,2000,11,19
20/11/2000,,,,,2000,11,20
27/11/2000,,,,,2000,11,27
27/11/2000,,,,,2000,11,27
06/12/2000,,,,,2000,12,6
13/12/2000,,,,,2000,12,13
22/12/2000,,-11.545,,,2000,12,22
15/01/2001,-8.148,,,,2001,1,15
24/02/2001,,,,,2001,2,24
12/03/2001,,,,,2001,3,12
28/03/2001,,-3.338,,,2001,3,28
29/04/2001,,,,,2001,4,29
15/05/2001,,,,,2001,5,15
23/05/2001,20.339,,,,2001,5,23
31/05/2001,,,,,2001,5,31
24/06/2001,,,,,2001,6,24
02/07/2001,,,,,2001,7,2
18/07/2001,,17.705,,,2001,7,18
26/07/2001,,,,,2001,7,26
03/08/2001,,,,,2001,8,3
11/08/2001,14.706,,,,2001,8,11
19/08/2001,,25.204,,,2001,8,19
27/08/2001,,,,,2001,8,27
04/09/2001,,-16.632,,,2001,9,4
20/09/2001,,,,,2001,9,20
06/10/2001,,13.248,,,2001,10,6
13/10/2001,,,,,2001,10,13
13/10/2001,,,,,2001,10,13
29/10/2001,,,,,2001,10,29
07/11/2001,,,,,2001,11,7
15/11/2001,,,,,2001,11,15
30/11/2001,,,,,2001,11,30
09/12/2001,,-9.975,,,2001,12,9
10/01/2002,,,,,2002,1,10
26/01/2002,,,,,2002,1,26
03/02/2002,0.075,,,,2002,2,3
11/02/2002,,,,,2002,2,11
19/02/2002,,,,,2002,2,19
27/02/2002,,,,,2002,2,27
07/03/2002,,,,,2002,3,7
31/03/2002,,,,,2002,3,31
16/04/2002,,,,,2002,4,16
02/05/2002,,20.717,,,2002,5,2
